date,close
,
03-01-22,1606.25
04-01-22,1562.5
05-01-22,1537.5
06-01-22,1575
07-01-22,1575
10-01-22,1550
11-01-22,1487.5
12-01-22,1487.5
13-01-22,1462.5
14-01-22,1512.5
17-01-22,1487.5
18-01-22,1475
19-01-22,1450
20-01-22,1493.75
21-01-22,1500
24-01-22,1493.75
25-01-22,1475
26-01-22,1487.5
27-01-22,1468.75
28-01-22,1462.5
31-01-22,1431.25
02-02-22,1425
03-02-22,1425
04-02-22,1406.25
07-02-22,1418.75
08-02-22,1393.75
09-02-22,1381.25
10-02-22,1412.5
11-02-22,1400
14-02-22,1362.5
15-02-22,1375
16-02-22,1393.75
17-02-22,1368.75
18-02-22,1387.5
21-02-22,1375
22-02-22,1456.25
23-02-22,1393.75
24-02-22,1375
25-02-22,1368.75
01-03-22,1381.25
02-03-22,1350
04-03-22,1350
07-03-22,1306.25
08-03-22,1268.75
09-03-22,1318.75
10-03-22,1337.5
11-03-22,1325
14-03-22,1331.25
15-03-22,1306.25
16-03-22,1300
17-03-22,1300
18-03-22,1325
21-03-22,1343.75
22-03-22,1312.5
23-03-22,1325
24-03-22,1331.25
25-03-22,1312.5
28-03-22,1306.25
29-03-22,1318.75
30-03-22,1306.25
31-03-22,1293.75
01-04-22,1300
04-04-22,1293.75
05-04-22,1318.75
06-04-22,1287.5
07-04-22,1287.5
08-04-22,1331.25
11-04-22,1306.25
12-04-22,1300
13-04-22,1325
14-04-22,1306.25
18-04-22,1381.25
19-04-22,1537.5
20-04-22,1781.25
21-04-22,1756.25
22-04-22,1756.25
25-04-22,1793.75
26-04-22,1775
27-04-22,1781.25
28-04-22,1750
09-05-22,1631.25
10-05-22,1518.75
11-05-22,1500
12-05-22,1437.5
13-05-22,1475
17-05-22,1500
18-05-22,1412.5
19-05-22,1387.5
20-05-22,1412.5
23-05-22,1318.75
24-05-22,1318.75
25-05-22,1312.5
27-05-22,1356.25
30-05-22,1343.75
31-05-22,1331.25
02-06-22,1450
03-06-22,1456.25
06-06-22,1375
07-06-22,1368.75
08-06-22,1550
09-06-22,1606.25
10-06-22,1656.25
13-06-22,1625
14-06-22,1687.5
15-06-22,1675
16-06-22,1718.75
17-06-22,1600
20-06-22,1562.5
21-06-22,1662.5
22-06-22,1650
23-06-22,1656.25
24-06-22,1656.25
27-06-22,1656.25
28-06-22,1700
29-06-22,1687.5
30-06-22,1637.5
01-07-22,1581.25
04-07-22,1562.5
05-07-22,1568.75
06-07-22,1600
07-07-22,1612.5
08-07-22,1581.25
11-07-22,1600
12-07-22,1625
13-07-22,1587.5
14-07-22,1556.25
15-07-22,1525
18-07-22,1518.75
19-07-22,1556.25
20-07-22,1600
21-07-22,1625
22-07-22,1612.5
25-07-22,1637.5
26-07-22,1581.25
27-07-22,1625
28-07-22,1631.25
29-07-22,1668.75
01-08-22,1693.75
02-08-22,1700
03-08-22,1800
04-08-22,1787.5
05-08-22,1800
08-08-22,1800
09-08-22,1775
10-08-22,1781.25
11-08-22,1793.75
12-08-22,1837.5
15-08-22,1831.25
16-08-22,1831.25
18-08-22,1831.25
19-08-22,1881.25
22-08-22,1800
23-08-22,1812.5
24-08-22,1806.25
25-08-22,1806.25
26-08-22,1800
29-08-22,1750
30-08-22,1806.25
31-08-22,1793.75
01-09-22,1781.25
02-09-22,1768.75
05-09-22,1775
06-09-22,1800
07-09-22,1737.5
08-09-22,1800
09-09-22,1793.75
12-09-22,1800
13-09-22,1825
14-09-22,1781.25
15-09-22,1793.75
16-09-22,1762.5
19-09-22,1793.75
20-09-22,1756.25
21-09-22,1731.25
22-09-22,1800
23-09-22,1837.5
26-09-22,1868.75
27-09-22,1862.5
28-09-22,1825
29-09-22,1837.5
30-09-22,1812.5
03-10-22,1850
04-10-22,1818.75
05-10-22,1775
06-10-22,1768.75
07-10-22,1706.25
10-10-22,1712.5
11-10-22,1712.5
12-10-22,1718.75
13-10-22,1650
14-10-22,1568.75
17-10-22,1575
18-10-22,1581.25
19-10-22,1581.25
20-10-22,1606.25
21-10-22,1625
24-10-22,1637.5
25-10-22,1662.5
26-10-22,1606.25
27-10-22,1593.75
28-10-22,1587.5
31-10-22,1693.75
01-11-22,1731.25
02-11-22,1731.25
03-11-22,1706.25
04-11-22,1675
07-11-22,1700
08-11-22,1668.75
09-11-22,1637.5
10-11-22,1656.25
11-11-22,1687.5
14-11-22,1643.75
15-11-22,1637.5
16-11-22,1600
17-11-22,1575
18-11-22,1575
21-11-22,1575
22-11-22,1568.75
23-11-22,1556.25
24-11-22,1562.5
25-11-22,1512.5
28-11-22,1481.25
29-11-22,1481.25
30-11-22,1487.5
01-12-22,1462.5
02-12-22,1468.75
05-12-22,1500
06-12-22,1456.25
07-12-22,1443.75
08-12-22,1450
09-12-22,1437.5
12-12-22,1406.25
13-12-22,1375
14-12-22,1350
15-12-22,1343.75
16-12-22,1400
19-12-22,1425
20-12-22,1431.25
21-12-22,1425
22-12-22,1500
23-12-22,1493.75
26-12-22,1531.25
27-12-22,1525
28-12-22,1500
29-12-22,1506.25
30-12-22,1543.75
02-01-23,1506.25
03-01-23,1575
04-01-23,1562.5
05-01-23,1525
06-01-23,1531.25
09-01-23,1481.25
10-01-23,1525
11-01-23,1506.25
12-01-23,1500
13-01-23,1518.75
16-01-23,1512.5
17-01-23,1512.5
18-01-23,1512.5
19-01-23,1550
20-01-23,1531.25
24-01-23,1512.5
25-01-23,1456.25
26-01-23,1493.75
27-01-23,1500
30-01-23,1493.75
31-01-23,1525
01-02-23,1500
02-02-23,1481.25
03-02-23,1512.5
06-02-23,1500
07-02-23,1475
08-02-23,1475
09-02-23,1468.75
10-02-23,1481.25
13-02-23,1543.75
14-02-23,1575
15-02-23,1550
16-02-23,1600
17-02-23,1625
20-02-23,1706.25
21-02-23,1700
22-02-23,1650
23-02-23,1687.5
24-02-23,1650
27-02-23,1675
28-02-23,1706.25
01-03-23,1706.25
02-03-23,1693.75
03-03-23,1725
06-03-23,1781.25
07-03-23,1737.5
08-03-23,1750
09-03-23,1750
10-03-23,1750
13-03-23,1768.75
14-03-23,1725
15-03-23,1750
16-03-23,1737.5
17-03-23,1750
20-03-23,1706.25
21-03-23,1718.75
24-03-23,1762.5
27-03-23,1750
28-03-23,1737.5
29-03-23,1731.25
30-03-23,1743.75
31-03-23,1737.5
03-04-23,1706.25
04-04-23,1706.25
05-04-23,1706.25
06-04-23,1687.5
10-04-23,1656.25
11-04-23,1675
12-04-23,1675
13-04-23,1650
14-04-23,1650
17-04-23,1662.5
18-04-23,1675
26-04-23,1650
27-04-23,1700
28-04-23,1750
02-05-23,1837.5
03-05-23,1862.5
04-05-23,1887.5
05-05-23,1887.5
08-05-23,1937.5
09-05-23,1931.25
10-05-23,1931.25
11-05-23,1900
12-05-23,1950
15-05-23,1918.75
16-05-23,1856.25
17-05-23,1900
19-05-23,1950
22-05-23,1912.5
23-05-23,1912.5
24-05-23,1981.25
25-05-23,1943.75
26-05-23,1962.5
29-05-23,2006.25
30-05-23,2050
31-05-23,2075
05-06-23,2087.5
06-06-23,2125
